Does Resp: 24 || Resp Choice: 46 ==NONE
Does Resp: 33 || Resp Choice: 77 ==NONE
Does Resp: 51 || Resp Choice: 6 ==NONE
Does Resp: 65 || Resp Choice: 4 ==NONE
Does Resp: 84 || Resp Choice: 50 ==NONE
Does Resp: 83 || Resp Choice: 41 ==NONE
Does Resp: 59 || Resp Choice: 33 ==NONE
Does Resp: 15 || Resp Choice: 50 ==NONE
Does Resp: 92 || Resp Choice: 24 ==NONE
Does Resp: 72 || Resp Choice: 27 ==NONE
Does Resp: 87 || Resp Choice: 11 ==NONE
Does Resp: 92 || Resp Choice: 21 ==NONE
Does Resp: 71 || Resp Choice: 88 ==NONE
Does Resp: 52 || Resp Choice: 30 ==NONE
Does Resp: 38 || Resp Choice: 30 ==NONE
Does Resp: 7 || Resp Choice: 93 ==JOSH
Does Resp: 63 || Resp Choice: 17 ==NONE
Does Resp: 98 || Resp Choice: 19 ==NONE
Does Resp: 14 || Resp Choice: 11 ==NONE
Does Resp: 35 || Resp Choice: 3 ==NONE
Does Resp: 32 || Resp Choice: 47 ==NONE
Does Resp: 4 || Resp Choice: 62 ==GENERIC
Does Resp: 100 || Resp Choice: 3 ==NONE
Does Resp: 51 || Resp Choice: 45 ==NONE
Does Resp: 37 || Resp Choice: 24 ==NONE
Does Resp: 45 || Resp Choice: 75 ==NONE
Does Resp: 16 || Resp Choice: 84 ==NONE
Does Resp: 1 || Resp Choice: 46 ==GENERIC
Does Resp: 98 || Resp Choice: 53 ==NONE
Does Resp: 51 || Resp Choice: 73 ==NONE
Does Resp: 45 || Resp Choice: 9 ==NONE
Does Resp: 48 || Resp Choice: 48 ==NONE
Does Resp: 82 || Resp Choice: 29 ==NONE
Does Resp: 62 || Resp Choice: 2 ==NONE
Does Resp: 54 || Resp Choice: 52 ==NONE
Does Resp: 94 || Resp Choice: 20 ==NONE
Does Resp: 76 || Resp Choice: 61 ==NONE
Does Resp: 78 || Resp Choice: 27 ==NONE
Does Resp: 64 || Resp Choice: 38 ==NONE
Does Resp: 48 || Resp Choice: 41 ==NONE
Does Resp: 21 || Resp Choice: 93 ==NONE
Does Resp: 86 || Resp Choice: 51 ==NONE
Does Resp: 90 || Resp Choice: 40 ==NONE
Does Resp: 97 || Resp Choice: 22 ==NONE
Does Resp: 88 || Resp Choice: 90 ==NONE
Does Resp: 74 || Resp Choice: 36 ==NONE
Does Resp: 73 || Resp Choice: 75 ==NONE
Does Resp: 99 || Resp Choice: 71 ==NONE
Does Resp: 94 || Resp Choice: 98 ==NONE
Does Resp: 97 || Resp Choice: 2 ==NONE
Does Resp: 14 || Resp Choice: 4 ==NONE
Does Resp: 25 || Resp Choice: 3 ==NONE
Does Resp: 53 || Resp Choice: 56 ==NONE
Does Resp: 21 || Resp Choice: 85 ==NONE
Does Resp: 27 || Resp Choice: 62 ==NONE
Does Resp: 99 || Resp Choice: 57 ==NONE
Does Resp: 30 || Resp Choice: 37 ==NONE
Does Resp: 37 || Resp Choice: 99 ==NONE
Does Resp: 20 || Resp Choice: 44 ==NONE
Does Resp: 23 || Resp Choice: 36 ==NONE
Does Resp: 21 || Resp Choice: 77 ==NONE
Does Resp: 97 || Resp Choice: 95 ==NONE
Does Resp: 83 || Resp Choice: 36 ==NONE
Does Resp: 66 || Resp Choice: 41 ==NONE
Does Resp: 55 || Resp Choice: 57 ==NONE
Does Resp: 74 || Resp Choice: 43 ==NONE
